"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Caenis_robusta","Caenis","robusta","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Clypeocaenis_bisetosa","Clypeocaenis","bisetosa","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Caenis_sp_BOLD_ACG8810_KR148803","Caenis","sp_BOLD_ACG8810_KR148803","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neoephemera_bicolor","Neoephemera","bicolor","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Habroleptoides_pauliana","Habroleptoides","pauliana","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Habrophlebia_eldae","Habrophlebia","eldae","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Paraleptophlebia_bicornuta","Paraleptophlebia","bicornuta","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Paraleptophlebia_gregalis","Paraleptophlebia","gregalis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Choroterpes_facialis","Choroterpes","facialis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Leptophlebia_nebulosa","Leptophlebia","nebulosa","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Thraulodes_sp_RF0071_KX039632","Thraulodes","sp_RF0071_KX039632","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Deleatidium_sp_NZMAY021_KX038043","Deleatidium","sp_NZMAY021_KX038043","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ulmerophlebia_AV2_JN382104","Ulmerophlebia","AV2_JN382104","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Koorrnonga_sp_AV3_AM_2013_KC348534","Koorrnonga","sp_AV3_AM_2013_KC348534","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
